prior_id,target,prior_claim,verification_status,current_environment,current_evidence,evidence_reference,correction_or_limit,linked_finding_id,next_action
A01,/blog/random-choice-log,허브 밖 글·과거51/86,PARTIALLY_REPRODUCED,source + named live/local evidence,"HTTP200/noindex,follow, 허브·sitemap 제외; 소스의 generated 검색 제외 정책과 일치",evidence.md;http-evidence.json;test_results.md,과거 글86은 현재 총량이 아님. 이번 허브87/도구51; 전체 후보와 색인은 별도,SPK-010,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A02,/blog/sleep-optimization,수면/카페인 산식·단정,REPRODUCED,source + named live/local evidence,390분/31.498% 독립 검산 및 운영 본문 일치,evidence.md;http-evidence.json;test_results.md,계산기의 개인차 고지는 존재,SPK-003,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A03,/blog/password-strength,고정 해독 시간/MFA,REPRODUCED,source + named live/local evidence,고정 시간 표·안전 보장 현재 HTTP 존재,evidence.md;http-evidence.json;test_results.md,생성기는 Crypto 사용/보장 부인; 글과 구분,SPK-004,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A04,/blog/random-choice-log,조사 오류·실행 양식 부족,REPRODUCED,source + named live/local evidence,3종 조사 오류 HTTP+최종 DOM,evidence.md;http-evidence.json;test_results.md,초기 loading 캡처는 결함 아님; 공통 템플릿 전체 품질 미확정,SPK-010,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A05,text-counter/contact/privacy,추출과 렌더링 차이,REPRODUCED,source + named live/local evidence,초기 HTML·DOM의 관련 링크/문의/정책 안내 차이,evidence.md;http-evidence.json;test_results.md,검색 스니펫은 NOT RUN; 클로킹 아님,SPK-008;SPK-009,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A06,privacy/광고/입력,고지·처리 일치,PARTIALLY_REPRODUCED,source + named live/local evidence,Google/쿠키/개인맞춤 설정 언급은 존재; 과거방문 설명·설정 링크 부족,evidence.md;http-evidence.json;test_results.md,실제 광고·CMP·전송 증명은 UNVERIFIED; 제3자 요청 차단,SPK-005,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A07,HTTP/www/robots/sitemap,봇 접근/색인 설정,PARTIALLY_REPRODUCED,source + named live/local evidence,"HTTP/www308→apex200, unknown404, robots/sitemap200",evidence.md;http-evidence.json;test_results.md,실제 Google 봇 접근·로그 UNKNOWN; 과거 Crawl Gate PASS 철회 유지,,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A08,대표 도구,미실행 제안 시나리오,PARTIALLY_REPRODUCED,source + named live/local evidence,이번 실행의 실제 PASS/FAIL은 test_results.md,evidence.md;http-evidence.json;test_results.md,과거 표를 버그 목록으로 간주하지 않음,SPK-001;SPK-002;SPK-006;SPK-007;SPK-008,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A09,CSS3/YesNo2,겹침·고위험 권장 충돌,PARTIALLY_REPRODUCED,source + named live/local evidence,기본CSS 의도 겹침 Strong; YesNo 범위충돌 Confirmed,evidence.md;http-evidence.json;test_results.md,states/reversible 고유 가치 보존; 유입·정량 중복률 없음,SPK-011;SPK-013,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A10,text-counter 추천,로또/주사위 추천,PARTIALLY_REPRODUCED,source + named live/local evidence,정적 HTML 첫6 sitePages; DOM 관련3도구 정상,evidence.md;http-evidence.json;test_results.md,React 추천 버그가 아니라 독립 static generator 문제,SPK-009,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A11,contact/FAQ,문의 가능 여부 미확인,REFUTED,source + named live/local evidence,"DOM에 GitHub Issues 링크, 목적지HTTP200",evidence.md;http-evidence.json;test_results.md,문의 수단 없음은 반증. 수신 NOT RUN; 비공개 문의는 별도 문제,SPK-012;SPK-009,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
A12,tools/blog/common,심사자 목적 문구,PARTIALLY_REPRODUCED,source + named live/local evidence,/tools 초기HTML에 AdSense 검토자; DOM없음,evidence.md;http-evidence.json;test_results.md,privacy 필수 AdSense 고지는 보존,SPK-009,fix_backlog.md의 해당 ID 참조; 미검증 조건 먼저 확인
