url,normalized_key,discovered_from,content_type,title,source_file,source_publish_state,local_route_state,http_status,final_url,redirect_chain,canonical,meta_robots,x_robots_tag,robots_access,sitemap_included,hub_linked,incoming_internal_links_in_sample,rendered_content_status,ad_observation,reviewed_at,proposed_action,evidence,notes
http://spinkorea.kr/,http://spinkorea.kr/,LIVE_HTTP,page,온라인 룰렛 돌리기 | 무료 원판돌리기·스핀 추첨,UNKNOWN,UNKNOWN,UNKNOWN,200,https://spinkorea.kr/,"[{""status"": 308, ""url"": ""http://spinkorea.kr/"", ""destination"": ""https://spinkorea.kr/""}]",https://spinkorea.kr/,ABSENT,ABSENT,ROBOTS_RULE_ALLOW,False,False,0,UNKNOWN,SCRIPT_PRESENT;DISPLAY_UNKNOWN,2026-09-19T22:57:33.588573+09:00,REVIEW,http-evidence.json,HTTP observation applies to fetched URL only; fragment variants retained; deployment SHA UNKNOWN
https://spinkorea.kr/,https://spinkorea.kr/,site-pages.json;existing-dist-unverified-build;LIVE_SITEMAP;LIVE_HTTP;link:https://spinkorea.kr/tools;link:https://spinkorea.kr/blog;link:https://spinkorea.kr/blog/random-choice-log;link:https://spinkorea.kr/tools/text-counter;link:https://spinkorea.kr/tools/random-team;link:https://spinkorea.kr/tools/random-password;link:https://spinkorea.kr/tools/loan-calculator;link:https://spinkorea.kr/tools/date-calculator;link:https://spinkorea.kr/tools/percentage-calculator;link:https://spinkorea.kr/tools/json-formatter;link:https://spinkorea.kr/tools/qr-code-generator;link:https://spinkorea.kr/tools/sleep-calculator;link:https://spinkorea.kr/tools/bmi-calculator;link:https://spinkorea.kr/tools/hourly-wage;link:https://spinkorea.kr/tools/lotto-generator;link:https://spinkorea.kr/contact;link:https://spinkorea.kr/privacy;link:https://spinkorea.kr/privacy/;link:https://spinkorea.kr/faq;link:https://spinkorea.kr/audit-nonexistent-20260919;link:https://spinkorea.kr/about;link:https://spinkorea.kr/blog/focus-thieves;link:https://spinkorea.kr/blog/goal-setting-smart;link:https://spinkorea.kr/blog/morning-routine;link:https://spinkorea.kr/blog/multitasking-myth;link:https://spinkorea.kr/blog/pareto-principle;link:https://spinkorea.kr/blog/perfectionism-trap;link:https://spinkorea.kr/blog/random-choice-psychology;link:https://spinkorea.kr/blog/success-habits;link:https://spinkorea.kr/lunch-menu;link:https://spinkorea.kr/random-number;link:https://spinkorea.kr/spinflow;link:https://spinkorea.kr/terms;link:https://spinkorea.kr/tools/age-calculator;link:https://spinkorea.kr/tools/annual-leave;link:https://spinkorea.kr/tools/area-converter;link:https://spinkorea.kr/tools/base-converter;link:https://spinkorea.kr/tools/base64-encoder;link:https://spinkorea.kr/tools/body-fat;link:https://spinkorea.kr/tools/calorie-burn;link:https://spinkorea.kr/tools/calorie-calculator;link:https://spinkorea.kr/tools/case-converter;link:https://spinkorea.kr/tools/coin-flip;link:https://spinkorea.kr/tools/color-converter;link:https://spinkorea.kr/tools/compound-interest;link:https://spinkorea.kr/tools/css-shadow-generator;link:https://spinkorea.kr/tools/d-day-counter;link:https://spinkorea.kr/tools/dice-roller;link:https://spinkorea.kr/tools/diff-checker;link:https://spinkorea.kr/tools/discount-calculator;link:https://spinkorea.kr/tools/dutch-pay;link:https://spinkorea.kr/tools/fuel-economy;link:https://spinkorea.kr/tools/ideal-weight;link:https://spinkorea.kr/tools/jeonse-converter;link:https://spinkorea.kr/tools/lorem-ipsum;link:https://spinkorea.kr/tools/margin-calculator;link:https://spinkorea.kr/tools/markdown-previewer;link:https://spinkorea.kr/tools/net-salary;link:https://spinkorea.kr/tools/roi-calculator;link:https://spinkorea.kr/tools/severance-pay;link:https://spinkorea.kr/tools/speed-calculator;link:https://spinkorea.kr/tools/statistics-calculator;link:https://spinkorea.kr/tools/time-calculator;link:https://spinkorea.kr/tools/timer;link:https://spinkorea.kr/tools/unit-converter;link:https://spinkorea.kr/tools/unix-timestamp;link:https://spinkorea.kr/tools/uri-encoder;link:https://spinkorea.kr/tools/uuid-generator;link:https://spinkorea.kr/tools/vat-calculator;link:https://spinkorea.kr/tools/water-intake;link:https://spinkorea.kr/tools/word-frequency;link:https://spinkorea.kr/tools/yes-no-oracle,page,온라인 룰렛 돌리기 | 무료 원판돌리기·스핀 추첨,src/data/site-pages.json,static;date=UNKNOWN,EXISTING_ARTIFACT_NOT_FRESH,200,https://spinkorea.kr/,[],https://spinkorea.kr/,ABSENT,ABSENT,ROBOTS_RULE_ALLOW,True,True,22,UNKNOWN,SCRIPT_PRESENT;DISPLAY_UNKNOWN,2026-09-19T22:57:10.772415+09:00,REVIEW,http-evidence.json,HTTP observation applies to fetched URL only; fragment variants retained; deployment SHA UNKNOWN
https://spinkorea.kr/#page-summary,https://spinkorea.kr/,link:https://spinkorea.kr/;link:http://spinkorea.kr/;link:https://www.spinkorea.kr/,page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ROBOTS_RULE_ALLOW,False,True,3,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW,UNKNOWN,Candidate only: source/future/stale-build/link evidence is not proof of public availability
https://spinkorea.kr/#reference-links,https://spinkorea.kr/,link:https://spinkorea.kr/;link:http://spinkorea.kr/;link:https://www.spinkorea.kr/,page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ROBOTS_RULE_ALLOW,False,True,3,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW,UNKNOWN,Candidate only: source/future/stale-build/link evidence is not proof of public availability
https://spinkorea.kr/#related-tools,https://spinkorea.kr/,link:https://spinkorea.kr/;link:http://spinkorea.kr/;link:https://www.spinkorea.kr/,page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ROBOTS_RULE_ALLOW,False,True,3,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW,UNKNOWN,Candidate only: source/future/stale-build/link evidence is not proof of public availability
https://spinkorea.kr/about,https://spinkorea.kr/about,site-pages.json;existing-dist-unverified-build;LIVE_SITEMAP;link:https://spinkorea.kr/;link:https://spinkorea.kr/tools;link:https://spinkorea.kr/blog;link:https://spinkorea.kr/tools/text-counter;link:https://spinkorea.kr/tools/random-team;link:https://spinkorea.kr/tools/random-password;link:https://spinkorea.kr/tools/loan-calculator;link:https://spinkorea.kr/tools/date-calculator;link:https://spinkorea.kr/tools/percentage-calculator;link:https://spinkorea.kr/tools/json-formatter;link:https://spinkorea.kr/tools/qr-code-generator;link:https://spinkorea.kr/tools/sleep-calculator;link:https://spinkorea.kr/tools/bmi-calculator;link:https://spinkorea.kr/tools/hourly-wage;link:https://spinkorea.kr/tools/lotto-generator;link:https://spinkorea.kr/contact;link:https://spinkorea.kr/privacy;link:https://spinkorea.kr/privacy/;link:https://spinkorea.kr/faq;link:http://spinkorea.kr/;link:https://www.spinkorea.kr/;LIVE_HTTP;link:https://spinkorea.kr/lunch-menu;link:https://spinkorea.kr/random-number;link:https://spinkorea.kr/spinflow;link:https://spinkorea.kr/terms;link:https://spinkorea.kr/tools/age-calculator;link:https://spinkorea.kr/tools/annual-leave;link:https://spinkorea.kr/tools/area-converter;link:https://spinkorea.kr/tools/base-converter;link:https://spinkorea.kr/tools/base64-encoder;link:https://spinkorea.kr/tools/body-fat;link:https://spinkorea.kr/tools/calorie-burn;link:https://spinkorea.kr/tools/calorie-calculator;link:https://spinkorea.kr/tools/case-converter;link:https://spinkorea.kr/tools/coin-flip;link:https://spinkorea.kr/tools/color-converter;link:https://spinkorea.kr/tools/compound-interest;link:https://spinkorea.kr/tools/css-shadow-generator;link:https://spinkorea.kr/tools/d-day-counter;link:https://spinkorea.kr/tools/dice-roller;link:https://spinkorea.kr/tools/diff-checker;link:https://spinkorea.kr/tools/discount-calculator;link:https://spinkorea.kr/tools/dutch-pay;link:https://spinkorea.kr/tools/fuel-economy;link:https://spinkorea.kr/tools/ideal-weight;link:https://spinkorea.kr/tools/jeonse-converter;link:https://spinkorea.kr/tools/lorem-ipsum;link:https://spinkorea.kr/tools/margin-calculator;link:https://spinkorea.kr/tools/markdown-previewer;link:https://spinkorea.kr/tools/net-salary;link:https://spinkorea.kr/tools/roi-calculator;link:https://spinkorea.kr/tools/severance-pay;link:https://spinkorea.kr/tools/speed-calculator;link:https://spinkorea.kr/tools/statistics-calculator;link:https://spinkorea.kr/tools/time-calculator;link:https://spinkorea.kr/tools/timer;link:https://spinkorea.kr/tools/unit-converter;link:https://spinkorea.kr/tools/unix-timestamp;link:https://spinkorea.kr/tools/uri-encoder;link:https://spinkorea.kr/tools/uuid-generator;link:https://spinkorea.kr/tools/vat-calculator;link:https://spinkorea.kr/tools/water-intake;link:https://spinkorea.kr/tools/word-frequency;link:https://spinkorea.kr/tools/yes-no-oracle,page,SpinFlow 소개 | 무료 결정 도구·생활 유틸리티 51종,src/data/site-pages.json,static;date=UNKNOWN,EXISTING_ARTIFACT_NOT_FRESH,200,https://spinkorea.kr/about,[],https://spinkorea.kr/about,ABSENT,ABSENT,ROBOTS_RULE_ALLOW,True,True,21,UNKNOWN,SCRIPT_PRESENT;DISPLAY_UNKNOWN,2026-09-19T23:03:03.239060+09:00,REVIEW,http-evidence.json,HTTP observation applies to fetched URL only; fragment variants retained; deployment SHA UNKNOWN
https://spinkorea.kr/about#page-summary,https://spinkorea.kr/about,link:https://spinkorea.kr/about,page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ROBOTS_RULE_ALLOW,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW,UNKNOWN,Candidate only: source/future/stale-build/link evidence is not proof of public availability
https://spinkorea.kr/about#reference-links,https://spinkorea.kr/about,link:https://spinkorea.kr/about,page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ROBOTS_RULE_ALLOW,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW,UNKNOWN,Candidate only: source/future/stale-build/link evidence is not proof of public availability
https://spinkorea.kr/about#related-tools,https://spinkorea.kr/about,link:https://spinkorea.kr/about,page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ROBOTS_RULE_ALLOW,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW,UNKNOWN,Candidate only: source/future/stale-build/link evidence is not proof of public availability
https://spinkorea.kr/about/,https://spinkorea.kr/about/,link:https://spinkorea.kr/;link:https://spinkorea.kr/tools;link:https://spinkorea.kr/blog;link:https://spinkorea.kr/tools/text-counter;link:https://spinkorea.kr/tools/random-team;link:https://spinkorea.kr/tools/random-password;link:https://spinkorea.kr/tools/loan-calculator;link:https://spinkorea.kr/tools/date-calculator;link:https://spinkorea.kr/tools/percentage-calculator;link:https://spinkorea.kr/tools/json-formatter;link:https://spinkorea.kr/tools/qr-code-generator;link:https://spinkorea.kr/tools/sleep-calculator;link:https://spinkorea.kr/tools/bmi-calculator;link:https://spinkorea.kr/tools/hourly-wage;link:https://spinkorea.kr/tools/lotto-generator;link:https://spinkorea.kr/contact;link:https://spinkorea.kr/privacy;link:https://spinkorea.kr/privacy/;link:https://spinkorea.kr/faq;link:http://spinkorea.kr/;link:https://www.spinkorea.kr/;link:https://spinkorea.kr/about;link:https://spinkorea.kr/lunch-menu;link:https://spinkorea.kr/random-number;link:https://spinkorea.kr/spinflow;link:https://spinkorea.kr/terms;link:https://spinkorea.kr/tools/age-calculator;link:https://spinkorea.kr/tools/annual-leave;link:https://spinkorea.kr/tools/area-converter;link:https://spinkorea.kr/tools/base-converter;link:https://spinkorea.kr/tools/base64-encoder;link:https://spinkorea.kr/tools/body-fat;link:https://spinkorea.kr/tools/calorie-burn;link:https://spinkorea.kr/tools/calorie-calculator;link:https://spinkorea.kr/tools/case-converter;link:https://spinkorea.kr/tools/coin-flip;link:https://spinkorea.kr/tools/color-converter;link:https://spinkorea.kr/tools/compound-interest;link:https://spinkorea.kr/tools/css-shadow-generator;link:https://spinkorea.kr/tools/d-day-counter;link:https://spinkorea.kr/tools/dice-roller;link:https://spinkorea.kr/tools/diff-checker;link:https://spinkorea.kr/tools/discount-calculator;link:https://spinkorea.kr/tools/dutch-pay;link:https://spinkorea.kr/tools/fuel-economy;link:https://spinkorea.kr/tools/ideal-weight;link:https://spinkorea.kr/tools/jeonse-converter;link:https://spinkorea.kr/tools/lorem-ipsum;link:https://spinkorea.kr/tools/margin-calculator;link:https://spinkorea.kr/tools/markdown-previewer;link:https://spinkorea.kr/tools/net-salary;link:https://spinkorea.kr/tools/roi-calculator;link:https://spinkorea.kr/tools/severance-pay;link:https://spinkorea.kr/tools/speed-calculator;link:https://spinkorea.kr/tools/statistics-calculator;link:https://spinkorea.kr/tools/time-calculator;link:https://spinkorea.kr/tools/timer;link:https://spinkorea.kr/tools/unit-converter;link:https://spinkorea.kr/tools/unix-timestamp;link:https://spinkorea.kr/tools/uri-encoder;link:https://spinkorea.kr/tools/uuid-generator;link:https://spinkorea.kr/tools/vat-calculator;link:https://spinkorea.kr/tools/water-intake;link:https://spinkorea.kr/tools/word-frequency;link:https://spinkorea.kr/tools/yes-no-oracle,page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ROBOTS_RULE_ALLOW,False,True,21,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW,UNKNOWN,Candidate only: source/future/stale-build/link evidence is not proof of public availability
